epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2634.86,0.35415,0.51998,0.39049,0.88163,0.95275,0.91953,0.97858,0.93515,0.95275,0.91953,0.97761,0.86561,0.28585,0.42461,0.30217,0.84067,0.0017228,0.0017228,0.0017228
30,2723.43,0.35571,0.52367,0.38118,0.88733,0.95065,0.9658,0.98623,0.96227,0.94936,0.96448,0.98363,0.87464,0.23013,0.42194,0.25741,0.81474,0.0017129,0.0017129,0.0017129
31,2813.2,0.34605,0.576,0.38486,0.88534,0.94094,0.96702,0.98113,0.95452,0.93838,0.96438,0.9778,0.87101,0.23685,0.43281,0.27237,0.81333,0.001703,0.001703,0.001703
32,2901.92,0.34231,0.49429,0.36197,0.87599,0.93878,0.91039,0.96364,0.92645,0.93878,0.91039,0.96127,0.83213,0.27424,0.51066,0.32964,0.84606,0.0016931,0.0016931,0.0016931
33,2990.66,0.3472,0.49592,0.36741,0.87979,0.96206,0.93673,0.98361,0.95205,0.96315,0.93091,0.97916,0.87495,0.24964,0.43615,0.28507,0.82407,0.0016832,0.0016832,0.0016832
34,3079.23,0.3375,0.47814,0.36007,0.87114,0.94452,0.96581,0.98636,0.96201,0.94323,0.96449,0.98387,0.86619,0.22863,0.40856,0.2688,0.81474,0.0016733,0.0016733,0.0016733
35,3168.02,0.3359,0.55027,0.36337,0.87314,0.94607,0.97361,0.98507,0.95921,0.94702,0.96694,0.98293,0.87798,0.24403,0.35932,0.26023,0.81377,0.0016634,0.0016634,0.0016634
36,3257.94,0.33617,0.47699,0.36184,0.86787,0.9441,0.96174,0.98271,0.95836,0.94258,0.96042,0.97956,0.8687,0.22475,0.38805,0.27454,0.81921,0.0016535,0.0016535,0.0016535
37,3346.47,0.32665,0.47116,0.37237,0.87911,0.94312,0.97493,0.98439,0.96101,0.9458,0.96695,0.97935,0.86736,0.22637,0.34966,0.26631,0.81094,0.0016436,0.0016436,0.0016436
38,3435.06,0.33957,0.60925,0.38684,0.88383,0.95196,0.96723,0.9864,0.96434,0.95066,0.96591,0.98262,0.87768,0.2261,0.44709,0.25449,0.81016,0.0016337,0.0016337,0.0016337
